CITY,PRICE,BEDS,BATHS,SQFT,PRICE/SQFT
Boston,375000.0,1.0,1.0,436.0,860.0
Boston,939900.0,3.0,1.5,2627.0,358.0
Boston,419000.0,2.0,1.0,734.0,571.0
Boston,725000.0,3.0,2.0,1338.0,542.0
South Boston,1489900.0,2.0,2.5,1509.0,987.0
Boston,1079900.0,2.0,2.0,1023.0,1056.0
Boston,820000.0,6.0,3.0,3984.0,206.0
Boston,325000.0,2.0,1.0,628.0,518.0
Boston,840000.0,2.0,2.0,1249.0,673.0
Boston,390000.0,0.0,1.0,356.0,1096.0
Boston,609000.0,2.0,2.0,796.0,765.0
Boston,1339000.0,1.0,1.0,841.0,1592.0
Boston,529900.0,1.0,1.0,498.0,1064.0
Boston,1680800.0,3.0,2.5,1750.0,960.0
Boston,769000.0,2.0,1.0,860.0,894.0
Boston,1935000.0,2.0,2.5,1470.0,1316.0
Boston,650000.0,3.0,2.0,1175.0,553.0
Boston,585000.0,3.0,2.0,1400.0,418.0
Boston,864900.0,1.0,1.0,837.0,1033.0
Boston,2435000.0,3.0,2.0,1787.0,1363.0
Boston,856000.0,1.0,1.0,770.0,1112.0
Brookline,2450000.0,3.0,3.5,2458.0,997.0
Boston,954900.0,2.0,2.0,932.0,1025.0
Boston,499000.0,1.0,1.0,640.0,780.0
Boston,522500.0,2.0,1.0,1092.0,478.0
Boston,485000.0,1.0,1.0,385.0,1260.0
Boston,570000.0,1.0,1.0,1000.0,570.0
Boston,699900.0,1.0,1.0,647.0,1082.0
Boston,829900.0,1.0,1.0,709.0,1171.0
Boston,1029900.0,2.0,2.0,950.0,1084.0
Boston,880000.0,2.0,2.0,987.0,892.0
Boston,729900.0,2.0,1.0,872.0,837.0
Boston,999900.0,2.0,2.0,1003.0,997.0
Boston,1069900.0,2.0,2.0,1068.0,1002.0
Brookline,2615000.0,4.0,4.5,3273.0,799.0
Boston,700000.0,1.0,1.0,709.0,987.0
Boston,503000.0,2.0,1.0,844.0,596.0
Charlestown,975000.0,2.0,1.0,1037.0,940.0
Boston,539000.0,2.0,2.0,819.0,658.0
Boston,599000.0,2.0,2.0,901.0,665.0
Boston,1300000.0,6.0,3.0,3306.0,393.0
Boston,599900.0,1.0,1.0,619.0,969.0
Boston,875000.0,2.0,2.0,1139.0,768.0
Boston,700000.0,7.0,3.0,2929.0,239.0
Boston,689900.0,1.0,1.0,647.0,1066.0
Boston,2450000.0,2.0,2.5,1790.0,1369.0
Boston,375000.0,2.0,1.0,680.0,551.0
Boston,490000.0,2.0,1.5,1856.0,264.0
Boston,810000.0,5.0,3.0,3819.0,212.0
Boston,899900.0,2.0,1.5,1020.0,882.0
Boston,1059900.0,2.0,2.0,976.0,1086.0
Boston,679900.0,1.0,1.0,676.0,1006.0
Boston,946900.0,2.0,2.0,1020.0,928.0
Boston,569900.0,1.0,1.0,498.0,1144.0
Boston,879900.0,2.0,2.0,902.0,975.0
Boston,1087400.0,2.0,2.0,1018.0,1068.0
Boston,519900.0,1.0,1.0,498.0,1044.0
Boston,732400.0,1.0,1.0,647.0,1132.0
Boston,519900.0,0.0,1.0,498.0,1044.0
Boston,529900.0,1.0,1.0,498.0,1064.0
Boston,539000.0,1.0,1.0,761.0,708.0
Boston,769900.0,1.0,1.0,647.0,1190.0
Boston,639900.0,1.0,1.0,641.0,998.0
Boston,1244250.0,1.0,1.0,945.0,1317.0
Boston,822000.0,2.0,1.0,1006.0,817.0
Boston,705000.0,6.0,2.0,2358.0,299.0
Boston,789000.0,2.0,2.0,1081.0,730.0
Boston,400000.0,3.0,2.0,1781.0,225.0
Boston,301704.0,2.0,1.0,1145.0,263.0
Boston,1200000.0,3.0,2.0,1249.0,961.0
Boston,465000.0,4.0,1.5,1551.0,300.0
Boston,507000.0,2.0,1.5,916.0,553.0
Boston,867500.0,2.0,2.5,1185.0,732.0
Boston,975000.0,7.0,3.0,2800.0,348.0
Boston,565000.0,2.0,2.0,1005.0,562.0
Boston,1400000.0,3.0,2.0,1389.0,1008.0
Boston,1109900.0,2.0,2.0,1018.0,1090.0
Boston,745000.0,2.0,2.0,1080.0,690.0
Boston,960000.0,3.0,2.0,1440.0,667.0
Boston,1015000.0,3.0,2.0,1615.0,628.0
Boston,550000.0,1.0,1.0,515.0,1068.0
Boston,345000.0,2.0,1.0,820.0,421.0
Boston,729900.0,1.0,1.0,675.0,1081.0
Boston,950000.0,2.0,2.0,923.0,1029.0
Boston,414000.0,1.0,1.0,645.0,642.0
Boston,603000.0,3.0,1.0,1445.0,417.0
Boston,937400.0,2.0,2.0,932.0,1006.0
Dedham,658000.0,3.0,2.0,1832.0,359.0
Boston,522000.0,2.0,1.0,960.0,544.0
Boston,515000.0,1.0,1.0,551.0,935.0
Boston,1800000.0,3.0,2.0,2928.0,615.0
Dorchester,251200.0,2.0,1.0,793.0,317.0
Boston,1150000.0,9.0,3.0,3234.0,356.0
Boston,695000.0,2.0,1.0,787.0,883.0
Boston,565000.0,2.0,1.0,915.0,617.0
Boston,1174000.0,9.0,3.0,3795.0,309.0
Boston,530000.0,1.0,1.0,518.0,1023.0
Boston,750000.0,1.0,1.0,596.0,1258.0
Boston,599495.0,2.0,2.0,830.0,722.0
Boston,1330000.0,2.0,2.0,904.0,1471.0
Boston,1950000.0,3.0,2.0,1550.0,1258.0
Boston,865000.0,3.0,2.5,1888.0,458.0
Boston,1499900.0,4.0,2.5,2358.0,636.0
Boston,980000.0,2.0,2.0,1011.0,969.0
Boston,660000.0,2.0,2.0,1234.0,535.0
Revere,310000.0,1.0,1.0,640.0,484.0
Boston,585000.0,3.0,1.5,1427.0,410.0
Boston,1710000.0,4.0,3.5,2860.0,598.0
Boston,575000.0,4.0,1.0,1402.0,410.0
Boston,995000.0,6.0,3.0,3483.0,286.0
Boston,825000.0,2.0,2.0,1183.0,697.0
Boston,789000.0,2.0,2.0,1090.0,724.0
Boston,569000.0,3.0,2.0,1200.0,474.0
Boston,625000.0,9.0,3.0,3582.0,174.0
Boston,608000.0,2.0,1.0,625.0,973.0
Boston,1385000.0,3.0,2.0,1186.0,1168.0
Boston,665000.0,3.0,1.0,940.0,707.0
Boston,769000.0,5.0,5.0,2840.0,271.0
Boston,740000.0,4.0,2.5,1794.0,412.0
Cambridge,2800000.0,3.0,2.0,2138.0,1310.0
Boston,392000.0,1.0,1.0,540.0,726.0
Boston,679900.0,1.0,1.0,722.0,942.0
Boston,1887500.0,2.0,2.0,1260.0,1498.0
Boston,3275000.0,2.0,2.5,1866.0,1755.0
Boston,725000.0,2.0,1.0,815.0,890.0
Boston,899900.0,2.0,2.0,950.0,947.0
Boston,840000.0,2.0,2.0,974.0,862.0
Cambridge,1525000.0,2.0,2.0,1569.0,972.0
Boston,575000.0,0.0,1.0,446.0,1289.0
Boston,729000.0,3.0,3.0,1839.0,396.0
Boston,850000.0,2.0,2.0,1066.0,797.0
Boston,677777.0,3.0,1.5,1512.0,448.0
Boston,448000.0,2.0,1.0,822.0,545.0
Boston,425000.0,2.0,1.0,818.0,520.0
Boston,716000.0,6.0,2.0,1952.0,367.0
Boston,700000.0,1.0,1.0,626.0,1118.0
Boston,619900.0,2.0,2.5,1381.0,449.0
Boston,769900.0,1.0,1.0,696.0,1106.0
Boston,675000.0,2.0,2.0,1218.0,554.0
Chelsea,470000.0,3.0,1.5,1728.0,272.0
Boston,925000.0,3.0,2.0,1615.0,573.0
Boston,640000.0,4.0,2.0,1400.0,457.0
Boston,754900.0,1.0,1.0,696.0,1085.0
Boston,625000.0,2.0,1.0,824.0,758.0
Boston,675000.0,4.0,2.0,1547.0,436.0
Boston,770000.0,1.0,1.0,709.0,1086.0
Boston,545000.0,2.0,2.0,1620.0,336.0
Boston,583000.0,3.0,1.5,1655.0,352.0
Boston,800000.0,6.0,2.0,2222.0,360.0
Boston,749000.0,3.0,2.0,1131.0,662.0
Boston,520000.0,2.0,1.0,1080.0,481.0
Boston,705500.0,2.0,1.5,1133.0,623.0
Boston,1120000.0,4.0,2.5,2232.0,502.0
Boston,464900.0,2.0,1.0,991.0,469.0
Charlotte,335500.0,2.0,2.5,1438.0,233.0
Charlotte,368000.0,2.0,1.0,768.0,479.0
Charlotte,340000.0,1.0,1.0,636.0,535.0
Charlotte,445000.0,3.0,2.5,1860.0,239.0
Charlotte,350000.0,2.0,2.0,1883.0,186.0
Charlotte,800000.0,4.0,2.5,3121.0,256.0
Charlotte,639000.0,4.0,3.5,3211.0,199.0
Charlotte,410000.0,4.0,2.5,2210.0,186.0
Charlotte,396900.0,4.0,2.5,2111.0,188.0
Charlotte,405000.0,3.0,2.5,1997.0,203.0
Charlotte,383750.0,3.0,2.5,2083.0,184.0
Charlotte,580000.0,4.0,2.5,3306.0,175.0
Charlotte,359500.0,3.0,2.5,1679.0,214.0
Charlotte,465000.0,3.0,3.0,2175.0,214.0
Charlotte,410000.0,4.0,2.0,1654.0,248.0
Charlotte,350000.0,3.0,2.5,1525.0,230.0
Charlotte,775000.0,3.0,3.5,2242.0,346.0
Charlotte,680000.0,4.0,2.5,2264.0,300.0
Charlotte,325000.0,3.0,2.0,1290.0,252.0
Charlotte,727000.0,3.0,2.5,2355.0,309.0
Charlotte,508790.0,4.0,3.0,3103.0,164.0
Charlotte,225000.0,3.0,1.0,1121.0,201.0
Charlotte,635000.0,6.0,3.0,3747.0,169.0
Charlotte,375000.0,4.0,2.5,2556.0,147.0
Charlotte,280000.0,2.0,2.0,1063.0,263.0
Charlotte,410870.0,3.0,2.0,1533.0,268.0
Charlotte,382245.0,4.0,2.5,1680.0,228.0
Charlotte,288960.0,3.0,2.5,1566.0,185.0
Charlotte,375030.0,3.0,2.0,1647.0,228.0
Charlotte,462875.0,4.0,3.5,2124.0,218.0
Charlotte,151305.0,2.0,2.0,864.0,175.0
Charlotte,487055.0,4.0,3.0,3113.0,156.0
Charlotte,214500.0,3.0,2.0,1360.0,158.0
Charlotte,365000.0,3.0,2.5,1834.0,199.0
Stallings,595595.0,3.0,3.0,2618.0,228.0
Charlotte,630055.0,3.0,3.0,2180.0,289.0
Charlotte,385485.0,3.0,3.5,1601.0,241.0
Charlotte,410849.0,3.0,2.5,1837.0,224.0
Charlotte,481289.0,3.0,2.5,1916.0,251.0
Charlotte,504440.0,3.0,3.0,2464.0,205.0
Charlotte,405000.0,3.0,2.5,1675.0,242.0
Charlotte,175000.0,2.0,1.0,706.0,248.0
Charlotte,365000.0,3.0,2.5,1669.0,219.0
Charlotte,180000.0,2.0,2.0,1258.0,143.0
Charlotte,514395.0,3.0,4.5,1854.0,277.0
Charlotte,401534.0,3.0,2.5,1916.0,210.0
Charlotte,630500.0,4.0,2.5,2756.0,229.0
Charlotte,373000.0,3.0,2.5,2180.0,171.0
Charlotte,349855.0,3.0,2.5,1440.0,243.0
Charlotte,465840.0,2.0,2.5,1358.0,343.0
Charlotte,560000.0,3.0,2.5,2949.0,190.0
Charlotte,386200.0,3.0,2.0,1388.0,278.0
Charlotte,342110.0,3.0,2.5,1680.0,204.0
Charlotte,449540.0,4.0,3.0,2052.0,219.0
Charlotte,531404.0,5.0,4.0,3570.0,149.0
Charlotte,416799.0,4.0,2.5,2202.0,189.0
Charlotte,393600.0,3.0,3.0,1741.0,226.0
Charlotte,562500.0,3.0,2.5,2197.0,256.0
Charlotte,762677.0,4.0,3.5,3673.0,208.0
Charlotte,703753.0,5.0,4.5,3944.0,178.0
Charlotte,590240.0,4.0,3.0,2683.0,220.0
Charlotte,429740.0,5.0,3.0,2368.0,181.0
Charlotte,412960.0,2.0,2.0,1533.0,269.0
Charlotte,316000.0,3.0,2.5,1600.0,198.0
Stallings,625885.0,3.0,3.0,2936.0,213.0
Charlotte,1250000.0,2.0,2.0,1792.0,698.0
Charlotte,675000.0,3.0,2.0,1800.0,375.0
Charlotte,756663.0,3.0,3.5,2524.0,300.0
Charlotte,350000.0,3.0,2.5,1856.0,189.0
Charlotte,501980.0,3.0,4.5,1854.0,271.0
Charlotte,269000.0,2.0,2.0,1037.0,259.0
Charlotte,455000.0,5.0,3.0,2511.0,181.0
Charlotte,300000.0,3.0,2.0,1180.0,254.0
Charlotte,361307.0,3.0,2.5,1769.0,204.0
