SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-26-2023,Single Family Residential,13709 1st Ave NE,Seattle,WA,98125,599000,2,1.5,Haller Lake,1320,2764,1947,,454,14,Sold,,,https://www.redfin.com/WA/Seattle/13709-1st-Ave-NE-98125/home/102897,NWMLS,2021185,N,Y,47.7289683,-122.3291776
PAST SALE,January-30-2023,Single Family Residential,9261 46th Ave SW,Seattle,WA,98136,775000,3,1,Fauntleroy,1560,5000,1947,,497,,Sold,,,https://www.redfin.com/WA/Seattle/9261-46th-Ave-SW-98136/home/156586,NWMLS,2020682,N,Y,47.520801,-122.3916103
PAST SALE,January-27-2023,Single Family Residential,2403 Prescott Ave SW,Seattle,WA,98126,995000,3,2.5,North Admiral,2900,9100,1941,,343,,Sold,,,https://www.redfin.com/WA/Seattle/2403-Prescott-Ave-SW-98126/home/150960,NWMLS,2023166,N,Y,47.5825359,-122.3794394
PAST SALE,February-7-2023,Single Family Residential,9108 2nd Ave NE,Seattle,WA,98115,960000,3,2,Maple Leaf,2880,6370,1946,,333,,Sold,,,https://www.redfin.com/WA/Seattle/9108-2nd-Ave-NE-98115/home/109909,NWMLS,2020831,N,Y,47.6951457,-122.3267449
PAST SALE,January-12-2023,Townhouse,807 17th Ave,Seattle,WA,98122,980000,4,3,First Hill,2180,1,2022,,450,,Sold,,,https://www.redfin.com/WA/Seattle/807-17th-Ave-98122/home/181812415,NWMLS,2017089,N,Y,47.6094887,-122.310575
PAST SALE,January-25-2023,Condo/Co-op,6910 California Ave SW #24,Seattle,WA,98136,475000,2,2,Fauntleroy,1082,,1985,,439,471,Sold,,,https://www.redfin.com/WA/Seattle/6910-California-Ave-SW-98136/unit-24/home/63700,NWMLS,2021691,N,Y,47.54189,-122.3867951
PAST SALE,January-24-2023,Single Family Residential,1617 N 137th St,Seattle,WA,98133,670000,2,1,Haller Lake,1250,9270,1948,,536,,Sold,,,https://www.redfin.com/WA/Seattle/1617-N-137th-St-98133/home/102019,NWMLS,2021555,N,Y,47.7284507,-122.3387913
PAST SALE,January-9-2023,Single Family Residential,452 Crockett,Seattle,WA,98109,1325000,4,1.5,Queen Anne,3200,3705,1924,,414,,Sold,,,https://www.redfin.com/WA/Seattle/452-Crockett-St-98109/home/134953,NWMLS,2010512,N,Y,47.6375665,-122.3480284
PAST SALE,February-2-2023,Condo/Co-op,524 N 40th St,Seattle,WA,98103,1850000,6,3.5,Fremont,3304,,2022,,560,25,Sold,,,https://www.redfin.com/WA/Seattle/524-N-40th-St-98103/home/181920773,NWMLS,2019109,N,Y,47.6554183,-122.3515046
PAST SALE,January-31-2023,Townhouse,6406 47th Ave SW,Seattle,WA,98136,1150000,4,3.5,Seaview,1883,6000,2022,,611,22,Sold,,,https://www.redfin.com/WA/Seattle/6406-47th-Ave-SW-98136/home/183296818,NWMLS,2022044,N,Y,47.5458354,-122.3925702
