CITY,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,YEAR BUILT,PRICE/SQFT
Houston,129900.0,3.0,2.0,Macgregor Palms,1000.0,1950.0,130.0
Houston,59900.0,2.0,1.0,Courtland Park Condo,945.0,1966.0,63.0
Houston,290000.0,4.0,2.0,Oak Creek Village,2504.0,1975.0,116.0
Houston,130000.0,2.0,2.0,Lynbrook Manor Condo Ph 02,1225.0,1982.0,106.0
Houston,149900.0,2.0,1.0,Pinecrest,851.0,1938.0,176.0
Houston,150000.0,3.0,2.0,Maxcy Estates Sec 01,1457.0,1963.0,103.0
Houston,250000.0,3.0,2.0,Westview Landing,1640.0,2020.0,152.0
Houston,222000.0,3.0,2.0,Sycamore Valley Sec 02,1446.0,1981.0,154.0
Houston,89999.0,1.0,1.0,Villas Westador Condo,714.0,1978.0,126.0
Houston,135000.0,1.0,1.0,Inverness,718.0,1964.0,188.0
Houston,195000.0,3.0,2.0,Denver Add,1348.0,1950.0,145.0
Houston,489900.0,3.0,3.0,Winter Xing,2308.0,2016.0,212.0
Houston,270000.0,4.0,2.0,New Forest West Sec 4,2233.0,2012.0,121.0
Houston,319500.0,2.0,1.0,Lindale Park,1058.0,1939.0,302.0
Houston,264995.0,3.0,2.0,Summer Trace,1360.0,2022.0,195.0
Houston,1850000.0,4.0,5.0,Garden Oaks,4702.0,2022.0,393.0
Houston,325000.0,5.0,4.0,Westador,3594.0,1971.0,90.0
Houston,139000.0,1.0,1.0,Fleur De Lis Garden Home Condo,600.0,1962.0,232.0
Kingwood,219900.0,3.0,2.0,Lakewood Cove Sec 01,1366.0,2006.0,161.0
Houston,124500.0,3.0,2.0,Inwood North Sec 01,1738.0,1976.0,72.0
Houston,89900.0,2.0,1.0,South Park Sec 03,756.0,1955.0,119.0
Huffman,219500.0,3.0,2.0,Lakewood Heights Sec 02,1736.0,1969.0,126.0
Houston,999000.0,4.0,3.0,Briargrove Sec 06,2729.0,1963.0,366.0
Houston,234900.0,3.0,2.0,Abst 329 J T Harrell,1237.0,2011.0,190.0
Houston,240000.0,3.0,2.0,Heatherwood Village,1508.0,1975.0,159.0
Houston,125000.0,4.0,3.0,Dumbarton Village R/p,1264.0,1966.0,99.0
Houston,297990.0,3.0,2.0,City Gate,1391.0,2022.0,214.0
Houston,205000.0,3.0,2.0,Northwest Green,1316.0,1982.0,156.0
Houston,85999.0,1.0,1.0,Doma Chase Condo,736.0,1978.0,117.0
Houston,159500.0,2.0,2.0,Hammerly Woods Condo Ph 02,1294.0,1975.0,123.0
Houston,260000.0,3.0,2.0,Woodland Oaks Sec 05,2180.0,2004.0,119.0
Houston,215000.0,3.0,1.0,Cloverland Sec 06,1696.0,1965.0,127.0
Houston,124882.0,2.0,2.0,Heathercrest,1103.0,1958.0,113.0
Katy,339900.0,3.0,2.0,Williamsburg Settlement,1975.0,1979.0,172.0
Houston,100000.0,1.0,1.0,Nantucket Condo,706.0,1965.0,142.0
Houston,779900.0,4.0,3.0,Pine Village Sec 02,2450.0,1953.0,318.0
